week,date,topic,lecture,notes,supplemental reading,homework,lab
1,Aug 24,PL and functional programming,"course intro, overview",[lecture01](https://piazza.com/class_profile/get_resource/ksp8kjp7orn3s4/kspmy1r7lim5r9),,[hw 1](https://docs.google.com/forms/d/e/1FAIpQLSdCurXOwDUz9Ob5DeFW9DAxsj8ZAvgtAqCBlw_wyZofV56APg/viewform?usp=sf_link) assigned,
,Aug 26,PL and functional programming,"PL building blocks, JavaScript intro",[lecture02](…),"[JavaScript Standard](https://www.ecma-international.org/ecma-262/10.0/index.html), Semantics of PL ch 1.1, 2.1-2.3",[hw 1](https://docs.google.com/forms/d/e/1FAIpQLSdCurXOwDUz9Ob5DeFW9DAxsj8ZAvgtAqCBlw_wyZofV56APg/viewform?usp=sf_link) due,
2,Aug 31,PL and functional programming,functional programming (simple functional language),[lecture03](…),Semantics of PL ch 3,,
,Sep 2,PL and functional programming,"crash course on Linux, OCaml, OPAM, Git",[lecture04](…),"[OCaml Online REPL](https://try.ocamlpro.com/), [Git Cheat Sheet](http://www.marcelofossrj.com/reference%20card/2017/07/26/git-reference.html) , [OCaml Exercises](https://ocaml.org/learn/tutorials/99problems.html) ",,
3,Sep 7,PL and functional programming,"crash course on Linux, OCaml, OPAM, Git",[lecture05](…),"[Learn OCaml](https://ocaml.org/learn/), [OCaml Spec](https://caml.inria.fr/pub/docs/manual-ocaml/language.html), [Ocaml Module Reference](https://caml.inria.fr/pub/docs/manual-ocaml/libref/index.html)",[hw 2](https://github.com/mines-csci400/f21a-assignment-hw02) assigned,
,Sep 9,expressions and evaluation,"algebraic data types (ADTs), pattern matching",[lecture06](…),[Data Types](https://www.cs.cornell.edu/courses/cs3110/2019fa/textbook/data/intro.html),,
4,Sep 14,*no class ([career day](https://www.mines.edu/careers/career-day/))*,,,,,[lab 1](https://github.com/mines-csci400/f21a-assignment-lab1) assigned
,Sep 16,expressions and evaluation,"algebraic data types (ADTs), pattern matching",[lecture07](…),[Data Types](https://www.cs.cornell.edu/courses/cs3110/2019fa/textbook/data/intro.html),[hw 2](https://github.com/mines-csci400/f21a-assignment-hw02) due,
5,Sep 21,expressions and evaluation,"syntax, grammars",[lecture08](…),Semantics of PL ch 1.2,[hw 3](https://github.com/mines-csci400/f21a-assignment-hw03) assigned,
,Sep 23,syntax and semantics,"lexing, parsing",[lecture09](…),"[Lexing](https://courses.cs.washington.edu/courses/cse401/04sp/slides/02-lexing.pdf), [Parsing](https://courses.cs.washington.edu/courses/cse401/04sp/slides/03-parsing.pdf), [Lexing & Parsing](https://www.cs.cornell.edu/courses/cs3110/2019fa/textbook/interp/lex_parse.html)",,[lab 1](https://github.com/mines-csci400/f21a-assignment-lab1) due
